user,id_campaign,subject,number_of_recipients,status,date_last_modified,date_created
j.doe@email.com,1558780069.60421,campain 4,23,1,2019/05/25 05:27:49,2019/05/25 05:27:49
j.doe@email.com,1558780064.4587,campain 3,81,1,2019/05/25 05:27:44,2019/05/25 05:27:44
j.doe@email.com,1558780059.34219,campain 2,91,1,2019/05/25 05:27:39,2019/05/25 05:27:39
j.doe@email.com,1558780054.21867,campain 1,6,1,2019/05/25 05:27:34,2019/05/25 05:27:34
j.doe@email.com,1558780049.06916,campain 0,93,1,2019/05/25 05:27:29,2019/05/25 05:27:29
j.doe@email.com,1558780012.74953,campain 4,59,1,2019/05/25 05:26:52,2019/05/25 05:26:52
j.doe@email.com,1558780007.62101,campain 3,16,1,2019/05/25 05:26:47,2019/05/25 05:26:47
j.doe@email.com,1558780002.4645,campain 2,12,1,2019/05/25 05:26:42,2019/05/25 05:26:42
j.doe@email.com,1558779997.28698,campain 1,49,1,2019/05/25 05:26:37,2019/05/25 05:26:37
j.doe@email.com,1558779991.72943,campain 0,48,1,2019/05/25 05:26:31,2019/05/25 05:26:31
